regiao;ano;semanaEpi;casosNovos;obitosNovos;casosAcumulado;obitosAcumulado;populacao;data_inicio
Nordeste;2023;12;4935;39;1795510.0;31489;14873064.0;2023-03-13
Nordeste;2023;13;4782;41;1796350.0;31515;14873064.0;2023-03-20
Nordeste;2023;14;4661;23;1796927.0;31519;14873064.0;2023-03-27
Nordeste;2023;15;5811;36;1797629.0;31525;14873064.0;2023-04-03
Nordeste;2023;16;6196;40;1798378.0;31542;14873064.0;2023-04-10
Nordeste;2023;17;6468;101;1799158.0;31560;14873064.0;2023-04-17
Nordeste;2023;18;3178;38;1799611.0;31574;14873064.0;2023-04-24
Nordeste;2023;19;7028;69;1800158.0;31593;14873064.0;2023-05-01
Nordeste;2023;20;5317;66;1800911.0;31601;14873064.0;2023-05-08
Nordeste;2023;21;5632;50;1801611.0;31610;14873064.0;2023-05-15
Nordeste;2023;22;5592;188;1802268.0;31621;14873064.0;2023-05-22
Nordeste;2023;23;3200;41;1802719.0;31630;14873064.0;2023-05-29
Nordeste;2023;24;2712;38;1803101.0;31638;14873064.0;2023-06-05
Nordeste;2023;25;3172;33;1803323.0;31646;14873064.0;2023-06-12
Nordeste;2023;26;2193;47;1803772.0;31658;14873064.0;2023-06-19
Nordeste;2023;27;2668;51;1804239.0;31665;14873064.0;2023-06-26
Nordeste;2023;28;2716;42;1804610.0;31670;14873064.0;2023-07-03
Nordeste;2023;29;2226;29;1804836.0;31677;14873064.0;2023-07-10
Nordeste;2023;30;1408;38;1805113.0;31688;14873064.0;2023-07-17
Nordeste;2023;31;538;17;1805388.0;31696;14873064.0;2023-07-24
Nordeste;2023;32;1366;39;1805486.0;31707;14873064.0;2023-07-31
Nordeste;2023;33;955;57;1805591.0;31717;14873064.0;2023-08-07
Nordeste;2023;34;1132;57;1805797.0;31719;14873064.0;2023-08-14
Nordeste;2023;35;851;12;1805982.0;31719;14873064.0;2023-08-21
Nordeste;2023;36;456;15;1806183.0;31720;14873064.0;2023-08-28
Nordeste;2023;37;1035;12;1806307.0;31721;14873064.0;2023-09-04
Nordeste;2023;38;1046;23;1806637.0;31722;14873064.0;2023-09-11
Nordeste;2023;39;873;45;1806959.0;31728;14873064.0;2023-09-18
Nordeste;2023;40;498;10;1807104.0;31729;14873064.0;2023-09-25
Nordeste;2023;41;437;11;1807252.0;31730;14873064.0;2023-10-02
Nordeste;2023;42;810;36;1807531.0;31736;14873064.0;2023-10-09
Nordeste;2023;43;1166;14;1808176.0;31738;14873064.0;2023-10-16
Nordeste;2023;44;1275;19;1809050.0;31741;14873064.0;2023-10-23
Nordeste;2023;45;2035;14;1810406.0;31749;14873064.0;2023-10-30
Nordeste;2023;46;2000;23;1812563.0;31761;14873064.0;2023-11-06
Nordeste;2023;47;4592;27;1815322.0;31779;14873064.0;2023-11-13
Nordeste;2023;48;4754;43;1817959.0;31797;14873064.0;2023-11-20
Nordeste;2023;49;7432;36;1819555.0;31816;14873064.0;2023-11-27
Nordeste;2023;50;15287;46;1821586.0;31832;14873064.0;2023-12-04
Nordeste;2023;51;9197;55;1822951.0;31847;14873064.0;2023-12-11
Nordeste;2023;52;18033;40;1823743.0;31857;14873064.0;2023-12-18
Nordeste;2024;1;9712;26;1847242.0;32068;14873064.0;2024-01-01
Nordeste;2024;2;13614;45;1825353.0;31891;14873064.0;2024-01-01
Nordeste;2024;3;12781;59;1826323.0;31898;14873064.0;2024-01-08
Nordeste;2024;4;7190;44;1827396.0;31911;14873064.0;2024-01-15
Nordeste;2024;5;6447;37;1828183.0;31913;14873064.0;2024-01-22
Nordeste;2024;6;2574;43;1828841.0;31925;14873064.0;2024-01-29
Nordeste;2024;7;1429;34;1829356.0;31937;14873064.0;2024-02-05
Nordeste;2024;8;5141;10;1830123.0;31953;14873064.0;2024-02-12
Nordeste;2024;9;2206;16;1830779.0;31960;14873064.0;2024-02-19
Nordeste;2024;10;1687;13;1831357.0;31964;14873064.0;2024-02-26
Nordeste;2024;11;6862;17;1838483.0;31974;14873064.0;2024-03-04
Nordeste;2024;12;2644;17;1839230.0;31977;14873064.0;2024-03-11
Nordeste;2024;13;671;173;1839594.0;31984;14873064.0;2024-03-18
Nordeste;2024;14;-18249;-251;1839857.0;31990;14873064.0;2024-03-25
Nordeste;2024;15;19349;264;1840099.0;31992;14873064.0;2024-04-01
Nordeste;2024;16;1130;-148;1840337.0;31995;14873064.0;2024-04-08
Nordeste;2024;17;411;2;1840466.0;31996;14873064.0;2024-04-15
Nordeste;2024;18;-29750;-94;1840497.0;31998;14873064.0;2024-04-22
Nordeste;2024;19;785;16;1840581.0;32001;14873064.0;2024-04-29
Nordeste;2024;20;30159;99;1840614.0;32001;14873064.0;2024-05-06
Nordeste;2024;21;1108;0;1840743.0;32001;14873064.0;2024-05-13
Nordeste;2024;22;757;3;1840821.0;32002;14873064.0;2024-05-20
Nordeste;2024;23;735;0;1840821.0;32002;14873064.0;2024-05-27
Nordeste;2024;24;234;3;1840821.0;32002;14873064.0;2024-06-03
Nordeste;2024;25;375;9;1840821.0;32002;14873064.0;2024-06-10
Nordeste;2024;26;316;5;1841002.0;32006;14873064.0;2024-06-17
Nordeste;2024;27;462;2;1841002.0;32006;14873064.0;2024-06-24
Nordeste;2024;28;1651;4;1841195.0;32007;14873064.0;2024-07-01
Nordeste;2024;29;505;1;1841300.0;32007;14873064.0;2024-07-08
Nordeste;2024;30;578;8;1841467.0;32007;14873064.0;2024-07-15
Nordeste;2024;31;162;3;1841467.0;32007;14873064.0;2024-07-22
Nordeste;2024;32;853;13;1841752.0;32012;14873064.0;2024-07-29
Nordeste;2024;33;506;10;1841922.0;32015;14873064.0;2024-08-05
Nordeste;2024;34;700;1;1842286.0;32016;14873064.0;2024-08-12
Nordeste;2024;35;121;4;1842286.0;32016;14873064.0;2024-08-19
Nordeste;2024;36;802;8;1842659.0;32017;14873064.0;2024-08-26
Nordeste;2024;37;154;2;1842659.0;32017;14873064.0;2024-09-02
Nordeste;2024;38;142;3;1843123.0;32017;14873064.0;2024-09-09
Nordeste;2024;39;800;3;1843335.0;32018;14873064.0;2024-09-16
Nordeste;2024;40;80;2;1843335.0;32018;14873064.0;2024-09-23
Nordeste;2024;41;886;10;1844176.0;32028;14873064.0;2024-09-30
Nordeste;2024;42;362;4;1844176.0;32028;14873064.0;2024-10-07
Nordeste;2024;43;456;9;1844481.0;32034;14873064.0;2024-10-14
Nordeste;2024;44;124;1;1844481.0;32034;14873064.0;2024-10-21
Nordeste;2024;45;124;5;1844481.0;32034;14873064.0;2024-10-28
Nordeste;2024;46;730;4;1844481.0;32034;14873064.0;2024-11-04
Nordeste;2024;47;206;0;1844481.0;32034;14873064.0;2024-11-11
Nordeste;2024;48;1781;29;1846162.0;32060;14873064.0;2024-11-18
Nordeste;2024;49;9737;3;1846505.0;32063;14873064.0;2024-11-25
Nordeste;2024;50;980;5;1846780.0;32063;14873064.0;2024-12-02
Nordeste;2024;51;699;7;1846992.0;32068;14873064.0;2024-12-09
Nordeste;2024;52;275;1;1847242.0;32068;14873064.0;2024-12-16
Nordeste;2025;1;874;15;1847242.0;32068;14873064.0;2024-12-30
Nordeste;2025;2;17881;10;1847242.0;32068;14873064.0;2024-12-30
Nordeste;2025;3;1921;9;1847242.0;32068;14873064.0;2025-01-06
Nordeste;2025;4;4240;24;1848345.0;32081;14873064.0;2025-01-13
Nordeste;2025;5;2550;25;1848603.0;32083;14873064.0;2025-01-20
Nordeste;2025;6;2211;25;1849061.0;32090;14873064.0;2025-01-27
Nordeste;2025;7;5340;11;1849459.0;32095;14873064.0;2025-02-03
Nordeste;2025;8;2139;10;1850025.0;32096;14873064.0;2025-02-10
Nordeste;2025;9;1062;10;1850538.0;32104;14873064.0;2025-02-17
Nordeste;2025;10;1302;13;1851137.0;32107;14873064.0;2025-02-24
Nordeste;2025;11;987;3;1851719.0;32107;14873064.0;2025-03-03
Nordeste;2025;12;1059;14;1852228.0;32110;14873064.0;2025-03-10
Nordeste;2025;13;349;5;1852228.0;32110;14873064.0;2025-03-17
Nordeste;2025;14;149;6;1852228.0;32110;14873064.0;2025-03-24
Nordeste;2025;15;826;12;1852806.0;32119;14873064.0;2025-03-31
Nordeste;2025;16;161;3;1852806.0;32119;14873064.0;2025-04-07
Nordeste;2025;17;362;7;1852978.0;32124;14873064.0;2025-04-14
Nordeste;2025;18;236;6;1853037.0;32125;14873064.0;2025-04-21
Nordeste;2025;19;408;8;1853103.0;32126;14873064.0;2025-04-28
Nordeste;2025;20;132;2;1853152.0;32126;14873064.0;2025-05-05
Nordeste;2025;21;239;7;1853268.0;32128;14873064.0;2025-05-12
Nordeste;2025;22;152;0;1853324.0;32129;14873064.0;2025-05-19
Nordeste;2025;23;29;1;1853324.0;32129;14873064.0;2025-05-26
Nordeste;2025;24;208;11;1853428.0;32131;14873064.0;2025-06-02
Nordeste;2025;25;159;3;1853494.0;32133;14873064.0;2025-06-09
Nordeste;2025;26;93;2;1853526.0;32133;14873064.0;2025-06-16
Nordeste;2025;27;251;1;1853526.0;32133;14873064.0;2025-06-23
Nordeste;2025;28;371;4;1853707.0;32135;14873064.0;2025-06-30
Nordeste;2025;29;204;15;1853784.0;32142;14873064.0;2025-07-07
Nordeste;2025;30;279;1;1853856.0;32142;14873064.0;2025-07-14
Nordeste;2025;31;1016;5;1853965.0;32142;14873064.0;2025-07-21
Nordeste;2025;32;509;10;1854075.0;32145;14873064.0;2025-07-28
Nordeste;2025;33;529;4;1854205.0;32146;14873064.0;2025-08-04
Nordeste;2025;34;543;2;1854362.0;32147;14873064.0;2025-08-11
Nordeste;2025;35;411;1;1854362.0;32147;14873064.0;2025-08-18
Nordeste;2025;36;0;0;1854362.0;32147;14873064.0;2025-08-25
Norte;2020;9;0;0;0.0;0;8602865.0;2020-02-24
Norte;2020;10;0;0;0.0;0;8602865.0;2020-02-24
Norte;2020;11;0;0;0.0;0;8602865.0;2020-03-02
Norte;2020;12;26;0;11.0;0;8602865.0;2020-03-09
Norte;2020;13;158;1;111.0;1;8602865.0;2020-03-16
Norte;2020;14;343;15;311.0;12;8602865.0;2020-03-23
Norte;2020;15;1136;57;1050.0;53;8602865.0;2020-03-30
Norte;2020;16;1753;143;1897.0;161;8602865.0;2020-04-06
Norte;2020;17;3464;199;3635.0;287;8602865.0;2020-04-13
Norte;2020;18;5894;456;6062.0;501;8602865.0;2020-04-20
Norte;2020;19;12807;845;11925.0;962;8602865.0;2020-04-27
Norte;2020;20;17909;1171;19677.0;1375;8602865.0;2020-05-04
Norte;2020;21;25907;1355;28802.0;2001;8602865.0;2020-05-11
Norte;2020;22;35904;1395;40560.0;2900;8602865.0;2020-05-18
Norte;2020;23;35468;1141;53176.0;3612;8602865.0;2020-05-25
Norte;2020;24;35194;1077;68510.0;4177;8602865.0;2020-06-01
Norte;2020;25;33955;787;82881.0;4519;8602865.0;2020-06-08
Norte;2020;26;41769;670;99313.0;4834;8602865.0;2020-06-15
Norte;2020;27;35301;635;112531.0;5069;8602865.0;2020-06-22
Norte;2020;28;32146;507;124934.0;5274;8602865.0;2020-06-29
Norte;2020;29;31273;519;136947.0;5478;8602865.0;2020-07-06
Norte;2020;30;33842;586;147923.0;5689;8602865.0;2020-07-13
Norte;2020;31;28240;356;156053.0;5750;8602865.0;2020-07-20
Norte;2020;32;32180;411;167099.0;5871;8602865.0;2020-07-27
Norte;2020;33;29731;344;177010.0;5932;8602865.0;2020-08-03
Norte;2020;34;30370;375;188644.0;6047;8602865.0;2020-08-10
Norte;2020;35;28882;335;198246.0;6109;8602865.0;2020-08-17
Norte;2020;36;25690;519;206864.0;6240;8602865.0;2020-08-24
Norte;2020;37;20179;260;213655.0;6307;8602865.0;2020-08-31
Norte;2020;38;20924;363;220205.0;6451;8602865.0;2020-09-07
Norte;2020;39;20233;284;226826.0;6534;8602865.0;2020-09-14
Norte;2020;40;20855;341;233802.0;6593;8602865.0;2020-09-21
Norte;2020;41;14168;212;237925.0;6645;8602865.0;2020-09-28
Norte;2020;42;13044;201;240966.0;6676;8602865.0;2020-10-05
Norte;2020;43;17611;229;246605.0;6717;8602865.0;2020-10-12
Norte;2020;44;17202;189;252919.0;6743;8602865.0;2020-10-19
Norte;2020;45;13510;164;256898.0;6784;8602865.0;2020-10-26
Norte;2020;46;16399;198;261534.0;6817;8602865.0;2020-11-02
Norte;2020;47;16004;183;265562.0;6861;8602865.0;2020-11-09
Norte;2020;48;18486;228;269870.0;6901;8602865.0;2020-11-16
Norte;2020;49;19400;218;274545.0;6944;8602865.0;2020-11-23
Norte;2020;50;18593;212;279600.0;6989;8602865.0;2020-11-30
Norte;2020;51;21605;268;285632.0;7051;8602865.0;2020-12-07
Norte;2020;52;17049;275;289795.0;7124;8602865.0;2020-12-14
Norte;2020;53;16359;307;293540.0;7188;8602865.0;2020-12-21
Norte;2021;1;28690;611;300454.0;7292;8602865.0;2020-12-28
Norte;2021;2;40558;739;308936.0;7388;8602865.0;2021-01-04
Norte;2021;3;44195;1214;317876.0;7487;8602865.0;2021-01-11
Norte;2021;4;44763;1348;328800.0;8018;8602865.0;2021-01-18
Norte;2021;5;39603;1293;338047.0;8934;8602865.0;2021-01-25
Norte;2021;6;35621;1421;347500.0;9819;8602865.0;2021-02-01
Norte;2021;7;32206;1219;354587.0;10409;8602865.0;2021-02-08
Norte;2021;8;36873;1047;363916.0;10831;8602865.0;2021-02-15
Norte;2021;9;35835;1137;372488.0;11240;8602865.0;2021-02-22
Norte;2021;10;38897;1209;382212.0;11516;8602865.0;2021-03-01
Norte;2021;11;46107;1287;396302.0;11775;8602865.0;2021-03-08
Norte;2021;12;46083;1227;411363.0;11939;8602865.0;2021-03-15
Norte;2021;13;36622;1218;422442.0;12061;8602865.0;2021-03-22
Norte;2021;14;38523;1185;437092.0;12245;8602865.0;2021-03-29
Norte;2021;15;35880;1315;450277.0;12362;8602865.0;2021-04-05
Norte;2021;16;29134;1321;462294.0;12506;8602865.0;2021-04-12
Norte;2021;17;27607;1162;472986.0;13083;8602865.0;2021-04-19
Norte;2021;18;27278;862;483623.0;13511;8602865.0;2021-04-26
Norte;2021;19;28303;776;496924.0;13886;8602865.0;2021-05-03
Norte;2021;20;27432;702;508274.0;14212;8602865.0;2021-05-10
Norte;2021;21;24340;607;516277.0;14478;8602865.0;2021-05-17
Norte;2021;22;23075;540;523063.0;14679;8602865.0;2021-05-24
Norte;2021;23;28333;602;533496.0;14946;8602865.0;2021-05-31
Norte;2021;24;26377;591;541833.0;15183;8602865.0;2021-06-07
Norte;2021;25;22724;489;549351.0;15389;8602865.0;2021-06-14
Norte;2021;26;19760;456;556637.0;15576;8602865.0;2021-06-21
Norte;2021;27;17979;392;561798.0;15701;8602865.0;2021-06-28
Norte;2021;28;15517;337;566006.0;15815;8602865.0;2021-07-05
Norte;2021;29;13177;338;569246.0;15958;8602865.0;2021-07-12
Norte;2021;30;12948;270;572456.0;16048;8602865.0;2021-07-19
Norte;2021;31;11377;290;575556.0;16156;8602865.0;2021-07-26
Norte;2021;32;8773;262;577856.0;16245;8602865.0;2021-08-02
Norte;2021;33;8799;217;580586.0;16351;8602865.0;2021-08-09
Norte;2021;34;7772;187;583202.0;16443;8602865.0;2021-08-16
Norte;2021;35;6269;137;585306.0;16503;8602865.0;2021-08-23
Norte;2021;36;3382;79;586377.0;16526;8602865.0;2021-08-30
Norte;2021;37;6207;125;587922.0;16578;8602865.0;2021-09-06
Norte;2021;38;4536;138;589962.0;16635;8602865.0;2021-09-13
Norte;2021;39;4035;88;591824.0;16664;8602865.0;2021-09-20
Norte;2021;40;4082;82;593560.0;16688;8602865.0;2021-09-27
Norte;2021;41;3871;73;595130.0;16706;8602865.0;2021-10-04
Norte;2021;42;5437;83;596977.0;16730;8602865.0;2021-10-11
Norte;2021;43;4488;52;598401.0;16743;8602865.0;2021-10-18
Norte;2021;44;4587;45;600002.0;16757;8602865.0;2021-10-25
Norte;2021;45;5633;72;601995.0;16798;8602865.0;2021-11-01
Norte;2021;46;5830;89;604217.0;16848;8602865.0;2021-11-08
Norte;2021;47;7712;101;607830.0;16884;8602865.0;2021-11-15
Norte;2021;48;8359;100;611527.0;16939;8602865.0;2021-11-22
Norte;2021;49;7896;71;615573.0;16973;8602865.0;2021-11-29
Norte;2021;50;8294;104;620123.0;17034;8602865.0;2021-12-06
Norte;2021;51;5889;62;623422.0;17060;8602865.0;2021-12-13
Norte;2021;52;7103;112;625463.0;17089;8602865.0;2021-12-20
Norte;2021;53;2794;85;293807.0;7209;8602865.0;2020-12-28
Norte;2022;1;9530;89;628813.0;17161;8602865.0;2021-12-27
Norte;2022;2;28909;133;632989.0;17233;8602865.0;2022-01-03
Norte;2022;3;82370;120;637758.0;17280;8602865.0;2022-01-10
Norte;2022;4;98782;171;647079.0;17335;8602865.0;2022-01-17
Norte;2022;5;83967;259;661600.0;17414;8602865.0;2022-01-24
Norte;2022;6;68947;292;681543.0;17534;8602865.0;2022-01-31
Norte;2022;7;52978;358;700232.0;17658;8602865.0;2022-02-07
Norte;2022;8;43382;257;716501.0;17782;8602865.0;2022-02-14
Norte;2022;9;19772;188;724221.0;17891;8602865.0;2022-02-21
Norte;2022;10;21364;153;734441.0;17969;8602865.0;2022-02-28
Norte;2022;11;15798;105;743154.0;18027;8602865.0;2022-03-07
Norte;2022;12;14158;90;750618.0;18075;8602865.0;2022-03-14
Norte;2022;13;9490;62;755822.0;18112;8602865.0;2022-03-21
Norte;2022;14;5413;60;758737.0;18153;8602865.0;2022-03-28
Norte;2022;15;4480;46;760691.0;18188;8602865.0;2022-04-04
Norte;2022;16;5620;53;762883.0;18227;8602865.0;2022-04-11
Norte;2022;17;4536;56;765606.0;18267;8602865.0;2022-04-18
Norte;2022;18;4404;40;768780.0;18299;8602865.0;2022-04-25
Norte;2022;19;3578;25;770836.0;18314;8602865.0;2022-05-02
Norte;2022;20;2952;27;772977.0;18341;8602865.0;2022-05-09
Norte;2022;21;2828;35;774477.0;18369;8602865.0;2022-05-16
Norte;2022;22;3187;22;775547.0;18386;8602865.0;2022-05-23
Norte;2022;23;3882;35;777125.0;18413;8602865.0;2022-05-30
Norte;2022;24;5794;27;778578.0;18433;8602865.0;2022-06-06
Norte;2022;25;11037;29;780414.0;18451;8602865.0;2022-06-13
Norte;2022;26;27513;45;783714.0;18468;8602865.0;2022-06-20
Norte;2022;27;33604;28;787551.0;18478;8602865.0;2022-06-27
Norte;2022;28;37906;55;794401.0;18491;8602865.0;2022-07-04
Norte;2022;29;35147;62;802892.0;18511;8602865.0;2022-07-11
Norte;2022;30;25244;71;810869.0;18542;8602865.0;2022-07-18
Norte;2022;31;19331;71;817372.0;18565;8602865.0;2022-07-25
Norte;2022;32;14888;61;823129.0;18587;8602865.0;2022-08-01
Norte;2022;33;9903;53;826883.0;18612;8602865.0;2022-08-08
Norte;2022;34;7105;123;830209.0;18714;8602865.0;2022-08-15
Norte;2022;35;5451;88;833071.0;18772;8602865.0;2022-08-22
Norte;2022;36;3800;57;835226.0;18813;8602865.0;2022-08-29
Norte;2022;37;3816;31;837178.0;18825;8602865.0;2022-09-05
Norte;2022;38;3228;23;839035.0;18839;8602865.0;2022-09-12
Norte;2022;39;2044;25;840259.0;18854;8602865.0;2022-09-19
Norte;2022;40;1767;25;841295.0;18868;8602865.0;2022-09-26
Norte;2022;41;1604;15;842329.0;18874;8602865.0;2022-10-03
Norte;2022;42;2887;17;843759.0;18881;8602865.0;2022-10-10
Norte;2022;43;2674;10;844928.0;18885;8602865.0;2022-10-17
Norte;2022;44;2319;6;845693.0;18888;8602865.0;2022-10-24
Norte;2022;45;3993;21;847241.0;18896;8602865.0;2022-10-31
Norte;2022;46;7328;21;848403.0;18903;8602865.0;2022-11-07
Norte;2022;47;8509;24;851048.0;18913;8602865.0;2022-11-14
Norte;2022;48;7886;30;853148.0;18927;8602865.0;2022-11-21
Norte;2022;49;9035;24;855743.0;18936;8602865.0;2022-11-28
Norte;2022;50;12211;16;858748.0;18941;8602865.0;2022-12-05
Norte;2022;51;10136;24;860218.0;18945;8602865.0;2022-12-12
Norte;2022;52;8757;28;861041.0;18953;8602865.0;2021-12-27
Norte;2023;1;7039;49;886310.0;19166;8602865.0;2022-12-26
Norte;2023;2;5850;15;863119.0;18991;8602865.0;2023-01-02
Norte;2023;3;4657;19;864552.0;18999;8602865.0;2023-01-09
Norte;2023;4;3766;15;865661.0;19002;8602865.0;2023-01-16
Norte;2023;5;3874;9;866994.0;19004;8602865.0;2023-01-23
Norte;2023;6;2877;8;868120.0;19007;8602865.0;2023-01-30
Norte;2023;7;4425;6;869312.0;19009;8602865.0;2023-02-06
Norte;2023;8;4210;11;870083.0;19013;8602865.0;2023-02-13
Norte;2023;9;4893;27;872068.0;19025;8602865.0;2023-02-20
Norte;2023;10;4247;19;873474.0;19031;8602865.0;2023-02-27
Norte;2023;11;2631;-8;874465.0;19043;8602865.0;2023-03-06
Norte;2023;12;3136;37;875474.0;19052;8602865.0;2023-03-13
Norte;2023;13;2314;24;876526.0;19056;8602865.0;2023-03-20
Norte;2023;14;1396;15;877033.0;19063;8602865.0;2023-03-27
Norte;2023;15;2023;10;877689.0;19071;8602865.0;2023-04-03
Norte;2023;16;2039;15;878153.0;19079;8602865.0;2023-04-10
Norte;2023;17;6323;23;878541.0;19085;8602865.0;2023-04-17
Norte;2023;18;-3365;22;878928.0;19104;8602865.0;2023-04-24
Norte;2023;19;1741;4;879424.0;19106;8602865.0;2023-05-01
Norte;2023;20;2119;15;880105.0;19113;8602865.0;2023-05-08
Norte;2023;21;1992;6;880614.0;19114;8602865.0;2023-05-15
Norte;2023;22;2638;10;881325.0;19119;8602865.0;2023-05-22
Norte;2023;23;548;-89;881780.0;19124;8602865.0;2023-05-29
Norte;2023;24;1422;105;882253.0;19129;8602865.0;2023-06-05
Norte;2023;25;1171;10;882712.0;19130;8602865.0;2023-06-12
Norte;2023;26;873;4;883131.0;19133;8602865.0;2023-06-19
Norte;2023;27;616;6;883568.0;19136;8602865.0;2023-06-26
Norte;2023;28;808;5;883709.0;19140;8602865.0;2023-07-03
Norte;2023;29;512;3;883866.0;19141;8602865.0;2023-07-10
Norte;2023;30;365;7;884003.0;19145;8602865.0;2023-07-17
Norte;2023;31;435;4;884181.0;19146;8602865.0;2023-07-24
Norte;2023;32;265;4;884316.0;19146;8602865.0;2023-07-31
Norte;2023;33;254;3;884376.0;19147;8602865.0;2023-08-07
Norte;2023;34;449;5;884517.0;19152;8602865.0;2023-08-14
Norte;2023;35;502;-199;884681.0;19155;8602865.0;2023-08-21
Norte;2023;36;229;208;884769.0;19155;8602865.0;2023-08-28
Norte;2023;37;347;1;884894.0;19155;8602865.0;2023-09-04
Norte;2023;38;504;1;884997.0;19155;8602865.0;2023-09-11
Norte;2023;39;316;4;885104.0;19158;8602865.0;2023-09-18
Norte;2023;40;279;2;885244.0;19160;8602865.0;2023-09-25
Norte;2023;41;112;0;885253.0;19160;8602865.0;2023-10-02
Norte;2023;42;262;1;885337.0;19160;8602865.0;2023-10-09
Norte;2023;43;243;1;885448.0;19161;8602865.0;2023-10-16
Norte;2023;44;271;2;885486.0;19161;8602865.0;2023-10-23
Norte;2023;45;555;1;885598.0;19161;8602865.0;2023-10-30
Norte;2023;46;321;1;885667.0;19161;8602865.0;2023-11-06
Norte;2023;47;534;3;885749.0;19161;8602865.0;2023-11-13
Norte;2023;48;985;2;885805.0;19161;8602865.0;2023-11-20
Norte;2023;49;387;6;885871.0;19163;8602865.0;2023-11-27
Norte;2023;50;645;6;885998.0;19165;8602865.0;2023-12-04
Norte;2023;51;1644;6;885998.0;19165;8602865.0;2023-12-11
Norte;2023;52;925;-2;886310.0;19166;8602865.0;2023-12-18
Norte;2024;1;3237;31;901444.0;19296;8602865.0;2024-01-01
Norte;2024;2;4673;10;887998.0;19192;8602865.0;2024-01-01
Norte;2024;3;6082;20;890198.0;19201;8602865.0;2024-01-08
Norte;2024;4;8757;20;893588.0;19214;8602865.0;2024-01-15
Norte;2024;5;5289;19;894890.0;19222;8602865.0;2024-01-22
Norte;2024;6;3889;13;896100.0;19229;8602865.0;2024-01-29
Norte;2024;7;3098;6;896688.0;19229;8602865.0;2024-02-05
Norte;2024;8;5011;9;897421.0;19232;8602865.0;2024-02-12
Norte;2024;9;1774;11;897868.0;19240;8602865.0;2024-02-19
Norte;2024;10;3449;15;898327.0;19244;8602865.0;2024-02-26
Norte;2024;11;1071;6;898511.0;19244;8602865.0;2024-03-04
Norte;2024;12;924;9;898635.0;19253;8602865.0;2024-03-11
Norte;2024;13;265;5;898775.0;19255;8602865.0;2024-03-18
Norte;2024;14;332;4;898896.0;19256;8602865.0;2024-03-25
Norte;2024;15;-1994;1;898966.0;19256;8602865.0;2024-04-01
Norte;2024;16;3390;3;899023.0;19257;8602865.0;2024-04-08
Norte;2024;17;338;6;899103.0;19259;8602865.0;2024-04-15
Norte;2024;18;157;2;899129.0;19259;8602865.0;2024-04-22
Norte;2024;19;194;2;899158.0;19259;8602865.0;2024-04-29
Norte;2024;20;422;2;899310.0;19261;8602865.0;2024-05-06
Norte;2024;21;277;1;899310.0;19261;8602865.0;2024-05-13
Norte;2024;22;468;11;899509.0;19266;8602865.0;2024-05-20
Norte;2024;23;206;2;899606.0;19266;8602865.0;2024-05-27
Norte;2024;24;219;4;899774.0;19269;8602865.0;2024-06-03
Norte;2024;25;753;2;900011.0;19269;8602865.0;2024-06-10
Norte;2024;26;347;1;900115.0;19269;8602865.0;2024-06-17
Norte;2024;27;391;1;900189.0;19269;8602865.0;2024-06-24
Norte;2024;28;325;4;900254.0;19271;8602865.0;2024-07-01
Norte;2024;29;398;2;900311.0;19271;8602865.0;2024-07-08
Norte;2024;30;256;0;900379.0;19271;8602865.0;2024-07-15
Norte;2024;31;294;5;900466.0;19274;8602865.0;2024-07-22
Norte;2024;32;107;2;900466.0;19274;8602865.0;2024-07-29
Norte;2024;33;277;20;900628.0;19287;8602865.0;2024-08-05
Norte;2024;34;453;9;900665.0;19289;8602865.0;2024-08-12
Norte;2024;35;76;2;900665.0;19289;8602865.0;2024-08-19
Norte;2024;36;549;2;900741.0;19289;8602865.0;2024-08-26
Norte;2024;37;183;2;900741.0;19289;8602865.0;2024-09-02
Norte;2024;38;374;2;900950.0;19289;8602865.0;2024-09-09
Norte;2024;39;289;5;901045.0;19291;8602865.0;2024-09-16
Norte;2024;40;70;2;901058.0;19291;8602865.0;2024-09-23
Norte;2024;41;33;4;901058.0;19291;8602865.0;2024-09-30
Norte;2024;42;44;3;901045.0;19291;8602865.0;2024-10-07
Norte;2024;43;122;6;901045.0;19291;8602865.0;2024-10-14
Norte;2024;44;37;3;901045.0;19291;8602865.0;2024-10-21
Norte;2024;45;81;3;901045.0;19291;8602865.0;2024-10-28
Norte;2024;46;277;3;901302.0;19292;8602865.0;2024-11-04
Norte;2024;47;104;6;901315.0;19296;8602865.0;2024-11-11
Norte;2024;48;96;0;901349.0;19296;8602865.0;2024-11-18
Norte;2024;49;84;0;901369.0;19296;8602865.0;2024-11-25
Norte;2024;50;187;2;901369.0;19296;8602865.0;2024-12-02
Norte;2024;51;109;0;901444.0;19296;8602865.0;2024-12-09
Norte;2024;52;44;1;901444.0;19296;8602865.0;2024-12-16
Norte;2025;1;185;1;901556.0;19297;8602865.0;2024-12-30
Norte;2025;2;991;4;901693.0;19298;8602865.0;2024-12-30
Norte;2025;3;562;12;902198.0;19310;8602865.0;2025-01-06
Norte;2025;4;5232;14;902198.0;19310;8602865.0;2025-01-13
Norte;2025;5;2226;19;903755.0;19326;8602865.0;2025-01-20
Norte;2025;6;1963;9;904434.0;19328;8602865.0;2025-01-27
Norte;2025;7;1252;2;905316.0;19329;8602865.0;2025-02-03
